GEOID,zip_code,route_id,total_pop,black_pop,hispanic_pop,asian_pop,white_pop
390610099022021,45205,32,72,12,26,0,28
390250405005030,45150,29,29,0,0,0,24
391650320112003,45140,71,79,0,1,0,76
391650320031008,45039,71,116,5,5,46,56
390610274003026,45215,78,0,0,0,0,0
390250413072077,45245,82,0,0,0,0,0
390610232013011,45215,43,17,1,0,0,11
390610244021023,45243,4,42,0,2,12,26
390610102022006,45211,38,48,29,2,0,16
390610017001002,45202,17,112,92,0,0,16
390610050003005,45208,51,88,2,0,2,76
390610240013002,45236,4,48,2,2,5,39
390610218023001,45239,17,21,0,1,0,11
390170111263016,45069,42,74,0,3,4,60
390610028002018,45214,16,5,1,0,0,1
390610269001049,45214,3341,4,3,0,0,0
390170111263007,45069,42,0,0,0,0,0
390250405001028,45150,29,20,0,3,0,16
390250405001002,45150,29,30,0,0,0,30
391650320033006,45034,71,37,2,0,0,28
390610073002009,45232,43,0,0,0,0,0
390610064002009,45237,5162,48,36,0,0,8
390610277003004,45223,4011,104,64,2,0,31
390610085011012,45211,3335,0,0,0,0,0
390610093001006,45204,4951,50,10,15,0,11
390610009001001,45202,78,32,11,1,0,18
390610083001003,45239,19,10,9,0,0,0
390610252005003,45212,43,139,33,6,3,91
390610252004003,45212,4,128,1,8,4,107
390610274002013,45215,43,33,9,4,0,18
390610258003030,45217,78,10,2,1,0,7
390610258003031,45217,78,34,0,0,0,29
390610064004014,45237,78,0,0,0,0,0
390610094001011,45205,2431,61,31,3,0,21
390610230012013,45241,67,0,0,0,0,0
390610222003001,45216,78,90,28,17,0,41
390610230012031,45241,67,0,0,0,0,0
390610264003014,45214,6,0,0,0,0,0
390610016002014,45202,100,49,44,2,0,3
390610252004009,45212,4,102,25,2,1,70
390610239021010,45242,3,60,6,5,2,44
390610097003006,45205,77,108,26,3,2,66
390610058004004,45213,4,35,7,13,0,11
390610215063002,45240,20,93,47,14,4,22
390610215062012,45240,23,190,94,26,7,61
390610007001016,45202,1,0,0,0,0,0
